,State,Trump,Clinton
0,Alabama,"62,00","34,00"
1,Alaska,"51,00","37,00"
2,Arizona,"49,00","45,00"
3,Arkansas,"61,00","34,00"
4,California,"32,00","62,00"
5,Colorado,"43,00","48,00"
6,Connecticut,"41,00","55,00"
7,Delaware,"42,00","53,00"
8,District of Columbia,"4,00","91,00"
9,Florida,"49,00","48,00"
10,Georgia,"51,00","46,00"
11,Hawaii,"30,0","62,00"
12,Idaho,"59,00","27,00"
13,Illinois,"39,00","56,00"
14,Indiana,"57,00","38,00"
15,Iowa,"51,00","42,00"
16,Kansas,"57,00","36,00"
17,Kentucky,"63,00","33,00"
18,Louisiana,"58,00","38,00"
19,Maine,"45,00","48,00"
20,Maryland,"34,00","60,0"
21,Massachusetts,"33,00","60,0"
22,Michigan,"47,00","47,00"
23,Minnesota,"45,00","46,00"
24,Mississippi,"58,00","40,0"
25,Missouri,"57,00","38,00"
26,Montana,"56,00","36,00"
27,Nebraska,"59,00","34,00"
28,Nevada,"46,00","48,00"
29,New Hampshire,"46,00","47,00"
30,New Jersey,"41,00","55,00"
31,New Mexico,"40,0","48,00"
32,New York,36,"59,00"
33,North Carolina,"50,0","46,00"
34,North Dakota,"63,00","27,00"
35,Ohio,"52,00","44,00"
36,Oklahoma,"65,00","29,00"
37,Oregon,"39,00","50,0"
38,Pennsylvania,"48,00","47,00"
39,Rhode Island,"39,00","54,00"
40,South Carolina,"55,00","41,00"
41,Tennessee,"61,00","35,00"
42,Texas,"52,00","43,00"
43,Utah,"46,00","27,00"
44,Vermont,"30,0","57,00"
45,Virginia,"44,00","50,0"
46,Washington,"37,00","53,00"
47,West Virginia,"68,00","26,00"
48,Wisconsin,"47,00","46,00"
49,Wyoming,"68,00","22,00"
