,State,name,percentage,Result,winner
0,Alabama,Trump,"0,62","62,00",Trump
1,Alabama,Clinton,"0,34","34,00",Trump
2,Alaska,Trump,"0,51","51,00",Trump
3,Alaska,Clinton,"0,37","37,00",Trump
4,Arizona,Trump,"0,49","49,00",Trump
5,Arizona,Clinton,"0,45","45,00",Trump
6,Arkansas,Trump,"0,61","61,00",Trump
7,Arkansas,Clinton,"0,34","34,00",Trump
8,California,Clinton,"0,62","62,00",Clinton
9,California,Trump,"0,32","32,00",Clinton
10,Colorado,Clinton,"0,48","48,00",Clinton
11,Colorado,Trump,"0,43","43,00",Clinton
12,Connecticut,Clinton,"0,55","55,00",Clinton
13,Connecticut,Trump,"0,41","41,00",Clinton
14,Delaware,Clinton,"0,53","53,00",Clinton
15,Delaware,Trump,"0,42","42,00",Clinton
16,District of Columbia,Clinton,"0,91","91,00",Clinton
17,District of Columbia,Trump,"0,04","4,00",Clinton
18,Florida,Trump,"0,49","49,00",Trump
19,Florida,Clinton,"0,48","48,00",Trump
20,Georgia,Trump,"0,51","51,00",Trump
21,Georgia,Clinton,"0,46","46,00",Trump
22,Hawaii,Clinton,"0,62","62,00",Clinton
23,Hawaii,Trump,"0,3","30,0",Clinton
24,Idaho,Trump,"0,59","59,00",Trump
25,Idaho,Clinton,"0,27","27,00",Trump
26,Illinois,Clinton,"0,56","56,00",Clinton
27,Illinois,Trump,"0,39","39,00",Clinton
28,Indiana,Trump,"0,57","57,00",Trump
29,Indiana,Clinton,"0,38","38,00",Trump
30,Iowa,Trump,"0,51","51,00",Trump
31,Iowa,Clinton,"0,42","42,00",Trump
32,Kansas,Trump,"0,57","57,00",Trump
33,Kansas,Clinton,"0,36","36,00",Trump
34,Kentucky,Trump,"0,63","63,00",Trump
35,Kentucky,Clinton,"0,33","33,00",Trump
36,Louisiana,Trump,"0,58","58,00",Trump
37,Louisiana,Clinton,"0,38","38,00",Trump
38,Maine,Clinton,"0,48","48,00",Clinton
39,Maine,Trump,"0,45","45,00",Clinton
40,Maryland,Clinton,"0,6","60,0",Trump
41,Maryland,Trump,"0,34","34,00",Trump
42,Massachusetts,Clinton,"0,6","60,0",Trump
43,Massachusetts,Trump,"0,33","33,00",Trump
44,Michigan,Trump,"0,47","47,00",Clinton
45,Michigan,Clinton,"0,47","47,00",Clinton
46,Minnesota,Clinton,"0,46","46,00",Clinton
47,Minnesota,Trump,"0,45","45,00",Clinton
48,Mississippi,Trump,"0,58","58,00",Trump
49,Mississippi,Clinton,"0,4","40,0",Trump
50,Missouri,Trump,"0,57","57,00",Trump
51,Missouri,Clinton,"0,38","38,00",Trump
52,Montana,Trump,"0,56","56,00",Trump
53,Montana,Clinton,"0,36","36,00",Trump
54,Nebraska,Trump,"0,59","59,00",Trump
55,Nebraska,Clinton,"0,34","34,00",Trump
56,Nevada,Clinton,"0,48","48,00",Clinton
57,Nevada,Trump,"0,46","46,00",Clinton
58,New Hampshire,Clinton,"0,47","47,00",Clinton
59,New Hampshire,Trump,"0,46","46,00",Clinton
60,New Jersey,Clinton,"0,55","55,00",Clinton
61,New Jersey,Trump,"0,41","41,00",Clinton
62,New Mexico,Clinton,"0,48","48,00",Clinton
63,New Mexico,Trump,"0,4","40,0",Clinton
64,New York,Clinton,"0,59","59,00",Clinton
65,New York,Trump,"0,36",36,Clinton
66,North Carolina,Trump,"0,5","50,0",Clinton
67,North Carolina,Clinton,"0,46","46,00",Clinton
68,North Dakota,Trump,"0,63","63,00",Trump
69,North Dakota,Clinton,"0,27","27,00",Trump
70,Ohio,Trump,"0,52","52,00",Trump
71,Ohio,Clinton,"0,44","44,00",Trump
72,Oklahoma,Trump,"0,65","65,00",Trump
73,Oklahoma,Clinton,"0,29","29,00",Trump
74,Oregon,Clinton,"0,5","50,0",Trump
75,Oregon,Trump,"0,39","39,00",Trump
76,Pennsylvania,Trump,"0,48","48,00",Trump
77,Pennsylvania,Clinton,"0,47","47,00",Trump
78,Rhode Island,Clinton,"0,54","54,00",Clinton
79,Rhode Island,Trump,"0,39","39,00",Clinton
80,South Carolina,Trump,"0,55","55,00",Trump
81,South Carolina,Clinton,"0,41","41,00",Trump
82,Tennessee,Trump,"0,61","61,00",Trump
83,Tennessee,Clinton,"0,35","35,00",Trump
84,Texas,Trump,"0,52","52,00",Trump
85,Texas,Clinton,"0,43","43,00",Trump
86,Utah,Trump,"0,46","46,00",Trump
87,Utah,Clinton,"0,27","27,00",Trump
88,Vermont,Clinton,"0,57","57,00",Clinton
89,Vermont,Trump,"0,3","30,0",Clinton
90,Virginia,Clinton,"0,5","50,0",Trump
91,Virginia,Trump,"0,44","44,00",Trump
92,Washington,Clinton,"0,53","53,00",Clinton
93,Washington,Trump,"0,37","37,00",Clinton
94,West Virginia,Trump,"0,68","68,00",Trump
95,West Virginia,Clinton,"0,26","26,00",Trump
96,Wisconsin,Trump,"0,47","47,00",Trump
97,Wisconsin,Clinton,"0,46","46,00",Trump
98,Wyoming,Trump,"0,68","68,00",Trump
99,Wyoming,Clinton,"0,22","22,00",Trump
